user_input,response
Bagaimana cara mengganti dosen pembimbing skripsi,Ajukan permohonan tertulis ke bagian akademik dengan alasan yang jelas.
Apa itu KRS,KRS (Kartu Rencana Studi) adalah dokumen untuk memilih mata kuliah.
halo,Halo! Ada yang bisa saya bantu?
apa itu krs,KRS (Kartu Rencana Studi) adalah dokumen untuk memilih mata kuliah.
apakah sia sudah bisa,Sistem Informasi Akademik (SIA) sudah bisa diakses. Silakan login menggunakan akun Anda. Dan kunjungi url berikut https://sia.mercubuana.ac.id/gate.php/login
halo,Halo! Ada yang bisa saya bantu?
apakah sia sudah bisa,Sistem Informasi Akademik (SIA) sudah bisa diakses. Silakan login menggunakan akun Anda. Dan kunjungi url berikut https://sia.mercubuana.ac.id/gate.php/login
apa itu krs,KRS (Kartu Rencana Studi) adalah dokumen untuk memilih mata kuliah.
halo,Halo! Ada yang bisa saya bantu?
apakah sia sudah bisa,Sistem Informasi Akademik (SIA) sudah bisa diakses. Silakan login menggunakan akun Anda. Dan kunjungi url berikut https://sia.mercubuana.ac.id/gate.php/login
apa itu krs,KRS (Kartu Rencana Studi) adalah dokumen untuk memilih mata kuliah.
